State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Notes
Delaware,"259,042 ","80,477 ","12,649 ","67,828 ",2022,12,2021,9,
Dist. Of Col.,"271,932 ","123,589 ","80,226 ","43,363 ",2022,12,2021,9,
Florida,"4,885,774 ",N/A,N/A,N/A,2022,12,2021,9,
Georgia,"2,368,940 ",N/A,N/A,N/A,2022,12,2021,9,
Guam,"37,038 ","4,564 ",N/A,"4,564 ",2022,12,2021,9,
Hawaii,"432,203 ","166,096 ","29,159 ","136,937 ",2022,12,2021,9,
Idaho,"422,530 ","105,899 ","105,899 ",0 ,2022,12,2021,9,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Illinois,"3,149,826 ","896,123 ","794,487 ","101,636 ",2022,12,2021,9,
Indiana,"1,827,297 ","515,196 ","515,196 ",0 ,2022,12,2021,9,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Iowa,"725,581 ","234,666 ","191,561 ","43,105 ",2022,12,2021,9,
Kansas,"425,499 ",N/A,N/A,N/A,2022,12,2021,9,
Kentucky,"1,467,416 ","573,657 ","573,657 ",0 ,2022,12,2021,9,
Louisiana,"1,907,829 ","689,576 ","689,576 ",0 ,2022,12,2021,9,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Maine,"353,763 ","88,645 ","69,559 ","19,086 ",2022,12,2021,9,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Maryland,"1,470,371 ","410,114 ","410,114 ",0 ,2022,12,2021,9,
Massachusetts,"1,973,925 ","441,598 ",0 ,"441,598 ",2022,12,2021,9,
Michigan,"2,861,551 ","948,482 ","889,152 ","59,330 ",2022,12,2021,9,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Minnesota,"1,259,989 ","262,335 ","262,335 ",0 ,2022,12,2021,9,
Mississippi,"785,517 ",N/A,N/A,N/A,2022,12,2021,9,
Missouri,"1,093,396 ",0 ,0 ,0 ,2022,12,2021,9," Missouri expanded its Medicaid program by adopting the VIII Group on October 1, 2021."
Montana,"283,025 ","109,075 ","109,075 ",0 ,2022,12,2021,9,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
N. Mariana Islands,"16,034 ",N/A,N/A,N/A,2022,12,2021,9,
Nebraska,"341,569 ","52,983 ","51,903 ","1,080 ",2022,12,2021,9,
Nevada,"763,916 ","320,021 ","320,021 ",0 ,2022,12,2021,9,
New Hampshire,"222,842 ","81,569 ","81,138 ",431 ,2022,12,2021,9,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
New Jersey,"1,925,556 ","700,459 ","700,459 ",0 ,2022,12,2021,9,
New Mexico,"946,613 ","290,144 ","290,144 ",0 ,2022,12,2021,9,
New York,"7,220,015 ","2,405,284 ","426,292 ","1,978,992 ",2022,12,2021,9,
North Carolina,"2,601,043 ",N/A,N/A,N/A,2022,12,2021,9,
North Dakota,"107,903 ","26,025 ","24,546 ","1,479 ",2022,12,2021,9,
Ohio,"3,324,234 ","767,822 ","767,566 ",256 ,2022,12,2021,9,
Oklahoma,"939,117 ","184,723 ","184,723 ",0 ,2022,12,2021,9,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
Oregon,"1,188,935 ","647,406 ","556,767 ","90,639 ",2022,12,2021,9,
Pennsylvania,"3,358,770 ","1,063,891 ","1,009,132 ","54,759 ",2022,12,2021,9," Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Puerto Rico,"1,442,087 ","605,670 ",N/A,"605,670 ",2022,12,2021,9,
Rhode Island,"336,116 ","90,339 ","90,339 ",0 ,2022,12,2021,9,
South Carolina,"1,458,358 ",N/A,N/A,N/A,2022,12,2021,9,
South Dakota,"123,627 ",N/A,N/A,N/A,2022,12,2021,9,
Tennessee,"1,740,256 ",N/A,N/A,N/A,2022,12,2021,9,
Texas,"5,338,235 ",N/A,N/A,N/A,2022,12,2021,9,
Utah,"448,821 ","104,157 ","103,275 ",882 ,2022,12,2021,9,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Vermont,"193,970 ","73,001 ",0 ,"73,001 ",2022,12,2021,9,
Virgin Islands,"34,415 ","16,904 ",N/A,"16,904 ",2022,12,2021,9,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Virginia,"1,721,459 ","581,281 ","581,281 ",0 ,2022,12,2021,9,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Washington,"2,024,227 ","751,049 ","735,820 ","15,229 ",2022,12,2021,9,
West Virginia,"613,518 ","214,962 ","214,962 ",0 ,2022,12,2021,9,
Wisconsin,"1,440,621 ",N/A,N/A,N/A,2022,12,2021,9,
Wyoming,"74,376 ",N/A,N/A,N/A,2022,12,2021,9,
Totals,"89,384,641 ","21,033,779 ","16,759,791 ","4,273,988 ",2022,12,2021,9,
Alabama,"1,222,711 ",N/A,N/A,N/A,2023,4,2021,10,
Alaska,"245,702 ","68,510 ","68,509 ",1 ,2023,4,2021,10,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Amer. Samoa,"31,434 ",N/A,N/A,N/A,2023,4,2021,10,
Arizona,"2,254,575 ","636,897 ","190,938 ","445,959 ",2023,4,2021,10,
Arkansas,"983,802 ","331,963 ","321,087 ","10,876 ",2023,4,2021,10,
California,"13,969,126 ","4,548,943 ","4,519,896 ","29,047 ",2023,4,2021,10,
Colorado,"1,541,034 ","556,813 ","546,717 ","10,096 ",2023,4,2021,10,
Connecticut,"1,125,052 ","380,973 ","352,046 ","28,927 ",2023,4,2021,10,
Delaware,"261,234 ","81,112 ","12,780 ","68,332 ",2023,4,2021,10,
Dist. Of Col.,"274,064 ","124,851 ","81,137 ","43,714 ",2023,4,2021,10,
Florida,"5,004,984 ",N/A,N/A,N/A,2023,4,2021,10,
Georgia,"2,387,406 ",N/A,N/A,N/A,2023,4,2021,10,
Guam,"36,391 ","4,311 ",N/A,"4,311 ",2023,4,2021,10,
Hawaii,"434,575 ","167,552 ","29,302 ","138,250 ",2023,4,2021,10,
Idaho,"428,906 ","108,678 ","108,678 ",0 ,2023,4,2021,10,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Illinois,"3,168,342 ","903,674 ","802,459 ","101,215 ",2023,4,2021,10,
Indiana,"1,859,175 ","520,976 ","520,976 ",0 ,2023,4,2021,10,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Iowa,"730,243 ","236,539 ","192,111 ","44,428 ",2023,4,2021,10,
Kansas,"428,870 ",N/A,N/A,N/A,2023,4,2021,10,
Kentucky,"1,486,781 ","589,158 ","589,158 ",0 ,2023,4,2021,10,
Louisiana,"1,921,794 ","698,600 ","698,600 ",0 ,2023,4,2021,10,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Maine,"359,314 ","91,061 ","71,712 ","19,349 ",2023,4,2021,10,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Maryland,"1,477,688 ","414,095 ","414,095 ",0 ,2023,4,2021,10,
Massachusetts,"1,993,041 ","444,326 ",0 ,"444,326 ",2023,4,2021,10,
Michigan,"2,875,046 ","954,326 ","892,319 ","62,007 ",2023,4,2021,10,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Minnesota,"1,278,144 ","269,267 ","269,267 ",0 ,2023,4,2021,10,
Mississippi,"789,224 ",N/A,N/A,N/A,2023,4,2021,10,
Missouri,"1,113,922 ","14,005 ","14,005 ",0 ,2023,4,2021,10," Missouri expanded its Medicaid program by adopting the VIII Group on October 1, 2021."
Montana,"284,488 ","109,674 ","109,674 ",0 ,2023,4,2021,10,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
N. Mariana Islands,"15,492 ",N/A,N/A,N/A,2023,4,2021,10,
Nebraska,"345,296 ","55,182 ","54,094 ","1,088 ",2023,4,2021,10,
Nevada,"768,469 ","324,083 ","324,083 ",0 ,2023,4,2021,10,
New Hampshire,"224,203 ","82,779 ","82,340 ",439 ,2023,4,2021,10,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
New Jersey,"1,937,015 ","703,369 ","703,369 ",0 ,2023,4,2021,10,
New Mexico,"948,018 ","290,980 ","290,980 ",0 ,2023,4,2021,10,
New York,"7,262,168 ","2,417,675 ","428,096 ","1,989,579 ",2023,4,2021,10,
North Carolina,"2,622,371 ",N/A,N/A,N/A,2023,4,2021,10,
North Dakota,"117,098 ","29,606 ","27,915 ","1,691 ",2023,4,2021,10,
Ohio,"3,344,806 ","777,250 ","776,998 ",252 ,2023,4,2021,10,
Oklahoma,"1,051,332 ","207,305 ","207,305 ",0 ,2023,4,2021,10,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
Oregon,"1,201,156 ","655,653 ","563,252 ","92,401 ",2023,4,2021,10,
Pennsylvania,"3,379,340 ","1,069,623 ","1,014,011 ","55,612 ",2023,4,2021,10,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Puerto Rico,"1,436,680 ","639,601 ",N/A,"639,601 ",2023,4,2021,10,
Rhode Island,"337,840 ","91,218 ","91,218 ",0 ,2023,4,2021,10,
South Carolina,"1,464,222 ",N/A,N/A,N/A,2023,4,2021,10,
South Dakota,"124,380 ",N/A,N/A,N/A,2023,4,2021,10,
Tennessee,"1,751,497 ",N/A,N/A,N/A,2023,4,2021,10,
Texas,"5,388,823 ",N/A,N/A,N/A,2023,4,2021,10,
Utah,"453,233 ","106,821 ","105,917 ",904 ,2023,4,2021,10,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Vermont,"194,701 ","71,851 ",0 ,"71,851 ",2023,4,2021,10,
Virgin Islands,"35,381 ","17,225 ",N/A,"17,225 ",2023,4,2021,10,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Virginia,"1,737,760 ","590,167 ","590,167 ",0 ,2023,4,2021,10,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Washington,"2,037,317 ","757,605 ","741,922 ","15,683 ",2023,4,2021,10,
West Virginia,"617,695 ","217,308 ","217,308 ",0 ,2023,4,2021,10,
Wisconsin,"1,448,408 ",N/A,N/A,N/A,2023,4,2021,10,
Wyoming,"77,111 ",N/A,N/A,N/A,2023,4,2021,10,
Totals,"90,288,880 ","21,361,605 ","17,024,441 ","4,337,164 ",2023,4,2021,10,
Alabama,"1,230,457 ",N/A,N/A,N/A,2023,4,2021,11,
Alaska,"247,037 ","69,138 ","69,137 ",1 ,2023,4,2021,11,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Amer. Samoa,"31,434 ",N/A,N/A,N/A,2023,4,2021,11,
Arizona,"2,266,489 ","643,371 ","190,315 ","453,056 ",2023,4,2021,11,
Arkansas,"987,769 ","332,457 ","321,084 ","11,373 ",2023,4,2021,11,
California,"13,989,762 ","4,571,459 ","4,542,210 ","29,249 ",2023,4,2021,11,
Colorado,"1,551,929 ","562,343 ","552,247 ","10,096 ",2023,4,2021,11,
Connecticut,"1,138,476 ","389,585 ","360,354 ","29,231 ",2023,4,2021,11,
Delaware,"263,468 ","81,885 ","12,963 ","68,922 ",2023,4,2021,11,
Dist. Of Col.,"275,119 ","125,269 ","81,534 ","43,735 ",2023,4,2021,11,
Florida,"5,020,145 ",N/A,N/A,N/A,2023,4,2021,11,
Georgia,"2,402,537 ",N/A,N/A,N/A,2023,4,2021,11,
Guam,"36,433 ","4,357 ",N/A,"4,357 ",2023,4,2021,11,
Hawaii,"436,136 ","168,877 ","29,617 ","139,260 ",2023,4,2021,11,
Idaho,"430,352 ","110,132 ","110,132 ",0 ,2023,4,2021,11,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Illinois,"3,189,315 ","913,564 ","812,548 ","101,016 ",2023,4,2021,11,
Indiana,"1,869,053 ","527,319 ","527,319 ",0 ,2023,4,2021,11,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Iowa,"735,119 ","238,904 ","192,324 ","46,580 ",2023,4,2021,11,
Kansas,"431,754 ",N/A,N/A,N/A,2023,4,2021,11,
Kentucky,"1,486,648 ","589,157 ","589,157 ",0 ,2023,4,2021,11,
Louisiana,"1,928,352 ","706,679 ","706,679 ",0 ,2023,4,2021,11,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Maine,"356,796 ","91,116 ","72,202 ","18,914 ",2023,4,2021,11,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Maryland,"1,485,040 ","417,786 ","417,786 ",0 ,2023,4,2021,11,
Massachusetts,"2,153,737 ","444,597 ",0 ,"444,597 ",2023,4,2021,11,
Michigan,"2,889,213 ","962,191 ","899,698 ","62,493 ",2023,4,2021,11,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Minnesota,"1,281,459 ","271,605 ","271,605 ",0 ,2023,4,2021,11,
Mississippi,"792,555 ",N/A,N/A,N/A,2023,4,2021,11,
Missouri,"1,128,019 ","20,927 ","20,927 ",0 ,2023,4,2021,11," Missouri expanded its Medicaid program by adopting the VIII Group on October 1, 2021."
Montana,"286,725 ","111,265 ","111,265 ",0 ,2023,4,2021,11,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
N. Mariana Islands,"15,424 ",N/A,N/A,N/A,2023,4,2021,11,
Nebraska,"349,543 ","57,704 ","56,539 ","1,165 ",2023,4,2021,11,
Nevada,"774,927 ","327,396 ","327,396 ",0 ,2023,4,2021,11,
New Hampshire,"226,036 ","84,273 ","83,838 ",435 ,2023,4,2021,11,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
New Jersey,"1,949,845 ","709,432 ","709,432 ",0 ,2023,4,2021,11,
New Mexico,"951,923 ","291,223 ","291,223 ",0 ,2023,4,2021,11,
New York,"7,301,148 ","2,441,864 ","444,346 ","1,997,518 ",2023,4,2021,11,
North Carolina,"2,647,416 ",N/A,N/A,N/A,2023,4,2021,11,
North Dakota,"118,158 ","30,089 ","28,369 ","1,720 ",2023,4,2021,11,
Ohio,"3,365,113 ","788,492 ","788,244 ",248 ,2023,4,2021,11,
Oklahoma,"1,060,520 ","222,466 ","222,466 ",0 ,2023,4,2021,11,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
Oregon,"1,207,299 ","662,700 ","568,334 ","94,366 ",2023,4,2021,11,
Pennsylvania,"3,404,246 ","1,075,849 ","1,019,051 ","56,798 ",2023,4,2021,11,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Puerto Rico,"1,438,256 ","640,865 ",N/A,"640,865 ",2023,4,2021,11,
Rhode Island,"339,294 ","92,023 ","92,023 ",0 ,2023,4,2021,11,
South Carolina,"1,473,539 ",N/A,N/A,N/A,2023,4,2021,11,
South Dakota,"125,290 ",N/A,N/A,N/A,2023,4,2021,11,
Tennessee,"1,758,570 ",N/A,N/A,N/A,2023,4,2021,11,
Texas,"5,441,180 ",N/A,N/A,N/A,2023,4,2021,11,
Utah,"458,894 ","109,840 ","108,892 ",948 ,2023,4,2021,11,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Vermont,"195,222 ","72,057 ",0 ,"72,057 ",2023,4,2021,11,
Virgin Islands,"35,515 ","17,287 ",N/A,"17,287 ",2023,4,2021,11,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Virginia,"1,751,110 ","597,685 ","597,685 ",0 ,2023,4,2021,11,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Washington,"2,050,624 ","767,321 ","751,693 ","15,628 ",2023,4,2021,11,
West Virginia,"619,922 ","219,031 ","219,031 ",0 ,2023,4,2021,11,
Wisconsin,"1,459,552 ",N/A,N/A,N/A,2023,4,2021,11,
Wyoming,"77,021 ",N/A,N/A,N/A,2023,4,2021,11,
Totals,"90,916,915 ","21,561,580 ","17,199,665 ","4,361,915 ",2023,4,2021,11,
Alabama,"1,238,719 ",N/A,N/A,N/A,2023,4,2021,12,
Alaska,"248,305 ","69,735 ","69,734 ",1 ,2023,4,2021,12,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Amer. Samoa,"31,434 ",N/A,N/A,N/A,2023,4,2021,12,
Arizona,"2,278,008 ","648,920 ","190,210 ","458,710 ",2023,4,2021,12,
Arkansas,"991,277 ","333,462 ","321,419 ","12,043 ",2023,4,2021,12,
California,"13,979,710 ","4,586,452 ","4,557,170 ","29,282 ",2023,4,2021,12,
Colorado,"1,562,537 ","567,800 ","557,818 ","9,982 ",2023,4,2021,12,
Connecticut,"1,133,704 ","391,300 ","361,721 ","29,579 ",2023,4,2021,12,
Delaware,"265,973 ","83,029 ","13,085 ","69,944 ",2023,4,2021,12,
Dist. Of Col.,"276,538 ","126,303 ","82,481 ","43,822 ",2023,4,2021,12,
Florida,"5,000,445 ",N/A,N/A,N/A,2023,4,2021,12,
Georgia,"2,418,847 ",N/A,N/A,N/A,2023,4,2021,12,
Guam,"36,502 ","4,379 ",N/A,"4,379 ",2023,4,2021,12,
Hawaii,"438,925 ","171,090 ","29,985 ","141,105 ",2023,4,2021,12,
Idaho,"432,224 ","111,610 ","111,610 ",0 ,2023,4,2021,12,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Illinois,"3,209,446 ","923,566 ","822,910 ","100,656 ",2023,4,2021,12,
Indiana,"1,870,346 ","528,187 ","528,187 ",0 ,2023,4,2021,12,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Iowa,"737,841 ","241,632 ","192,688 ","48,944 ",2023,4,2021,12,
Kansas,"435,150 ",N/A,N/A,N/A,2023,4,2021,12,
Kentucky,"1,485,562 ","589,106 ","589,106 ",0 ,2023,4,2021,12,
Louisiana,"1,933,442 ","712,300 ","712,300 ",0 ,2023,4,2021,12,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Maine,"360,287 ","93,396 ","74,104 ","19,292 ",2023,4,2021,12,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Maryland,"1,492,585 ","422,497 ","422,497 ",0 ,2023,4,2021,12,
Massachusetts,"2,019,043 ","453,471 ",0 ,"453,471 ",2023,4,2021,12,
Michigan,"2,908,356 ","971,998 ","909,021 ","62,977 ",2023,4,2021,12,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Minnesota,"1,282,676 ","273,838 ","273,838 ",0 ,2023,4,2021,12,
Mississippi,"796,318 ",N/A,N/A,N/A,2023,4,2021,12,
Missouri,"1,164,320 ","53,643 ","53,643 ",0 ,2023,4,2021,12," Missouri expanded its Medicaid program by adopting the VIII Group on October 1, 2021."
Montana,"289,841 ","113,074 ","113,074 ",0 ,2023,4,2021,12,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
N. Mariana Islands,"15,277 ",N/A,N/A,N/A,2023,4,2021,12,
Nebraska,"354,199 ","60,633 ","59,414 ","1,219 ",2023,4,2021,12,
Nevada,"780,806 ","331,444 ","331,444 ",0 ,2023,4,2021,12,
New Hampshire,"227,798 ","85,818 ","85,365 ",453 ,2023,4,2021,12,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
New Jersey,"1,965,455 ","717,024 ","717,024 ",0 ,2023,4,2021,12,
New Mexico,"953,879 ","291,076 ","291,076 ",0 ,2023,4,2021,12,
New York,"7,335,813 ","2,445,278 ","429,996 ","2,015,282 ",2023,4,2021,12,
North Carolina,"2,673,196 ",N/A,N/A,N/A,2023,4,2021,12,
North Dakota,"119,656 ","30,622 ","28,888 ","1,734 ",2023,4,2021,12,
Ohio,"3,383,770 ","798,591 ","798,337 ",254 ,2023,4,2021,12,
Oklahoma,"1,062,275 ","236,178 ","236,178 ",0 ,2023,4,2021,12,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
Oregon,"1,210,643 ","668,506 ","572,918 ","95,588 ",2023,4,2021,12,
Pennsylvania,"3,423,654 ","1,083,651 ","1,026,138 ","57,513 ",2023,4,2021,12,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Puerto Rico,"1,440,751 ","642,573 ",N/A,"642,573 ",2023,4,2021,12,
Rhode Island,"339,405 ","92,465 ","92,465 ",0 ,2023,4,2021,12,
South Carolina,"1,484,458 ",N/A,N/A,N/A,2023,4,2021,12,
South Dakota,"126,218 ",N/A,N/A,N/A,2023,4,2021,12,
Tennessee,"1,764,508 ",N/A,N/A,N/A,2023,4,2021,12,
Texas,"5,485,623 ",N/A,N/A,N/A,2023,4,2021,12,
Utah,"464,435 ","112,872 ","111,892 ",980 ,2023,4,2021,12,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Vermont,"196,063 ","72,440 ",0 ,"72,440 ",2023,4,2021,12,
Virgin Islands,"35,623 ","17,368 ",N/A,"17,368 ",2023,4,2021,12,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Virginia,"1,768,520 ","610,729 ","610,729 ",0 ,2023,4,2021,12,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Washington,"2,054,833 ","774,063 ","758,809 ","15,254 ",2023,4,2021,12,
West Virginia,"623,535 ","221,371 ","221,371 ",0 ,2023,4,2021,12,
Wisconsin,"1,469,203 ",N/A,N/A,N/A,2023,4,2021,12,
Wyoming,"74,667 ",N/A,N/A,N/A,2023,4,2021,12,
Totals,"91,152,624 ","21,763,490 ","17,358,645 ","4,404,845 ",2023,4,2021,12,
Alabama,"1,247,431 ",N/A,N/A,N/A,2023,8,2022,1,
Alaska,"249,589 ","70,118 ","70,117 ",1 ,2023,8,2022,1,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Amer. Samoa,"31,434 ",N/A,N/A,N/A,2023,8,2022,1,
Arizona,"2,288,355 ","653,855 ","190,216 ","463,639 ",2023,8,2022,1,
Arkansas,"999,654 ","335,019 ","326,301 ","8,718 ",2023,8,2022,1,
California,"14,175,338 ","4,670,721 ","4,641,315 ","29,406 ",2023,8,2022,1,
Colorado,"1,577,582 ","575,567 ","565,111 ","10,456 ",2023,8,2022,1,
Connecticut,"1,107,731 ","351,917 ","321,907 ","30,010 ",2023,8,2022,1,
Delaware,"268,133 ","86,639 ","13,694 ","72,945 ",2023,8,2022,1,
Dist. Of Col.,"278,209 ","127,520 ","83,528 ","43,992 ",2023,8,2022,1,
Florida,"5,132,717 ",N/A,N/A,N/A,2023,8,2022,1,
Georgia,"2,433,530 ",N/A,N/A,N/A,2023,8,2022,1,
Guam,"38,185 ","4,699 ",N/A,"4,699 ",2023,8,2022,1,
Hawaii,"441,516 ","172,452 ","30,181 ","142,271 ",2023,8,2022,1,
Idaho,"439,186 ","115,054 ","115,054 ",0 ,2023,8,2022,1,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Illinois,"3,229,543 ","932,595 ","832,506 ","100,089 ",2023,8,2022,1,
Indiana,"1,917,303 ","542,049 ","542,049 ",0 ,2023,8,2022,1,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015."
Iowa,"745,285 ","244,752 ","194,335 ","50,417 ",2023,8,2022,1,
Kansas,"438,829 ",N/A,N/A,N/A,2023,8,2022,1,
Kentucky,"1,499,074 ","596,307 ","596,307 ",0 ,2023,8,2022,1,
Louisiana,"1,948,068 ","719,576 ","719,576 ",0 ,2023,8,2022,1,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016."
Maine,"363,049 ","95,178 ","75,543 ","19,635 ",2023,8,2022,1,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018."
Maryland,"1,502,415 ","427,462 ","427,462 ",0 ,2023,8,2022,1,
Massachusetts,"2,045,637 ","457,908 ",0 ,"457,908 ",2023,8,2022,1,
Michigan,"2,920,543 ","980,949 ","917,761 ","63,188 ",2023,8,2022,1,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014."
Minnesota,"1,305,166 ","280,513 ","280,513 ",0 ,2023,8,2022,1,
Mississippi,"799,530 ",N/A,N/A,N/A,2023,8,2022,1,
Missouri,"1,173,683 ","62,297 ","62,297 ",0 ,2023,8,2022,1,"Missouri expanded its Medicaid program by adopting the VIII Group on October 1, 2021."
Montana,"291,940 ","114,075 ","114,075 ",0 ,2023,8,2022,1,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016."
N. Mariana Islands,"15,277 ",N/A,N/A,N/A,2023,8,2022,1,
Nebraska,"359,428 ","63,244 ","61,981 ","1,263 ",2023,8,2022,1,
Nevada,"787,941 ","336,218 ","336,218 ",0 ,2023,8,2022,1,
New Hampshire,"229,033 ","87,038 ","86,576 ",462 ,2023,8,2022,1,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014."
New Jersey,"1,980,438 ","724,522 ","724,522 ",0 ,2023,8,2022,1,
New Mexico,"962,420 ","293,036 ","293,036 ",0 ,2023,8,2022,1,
New York,"7,373,698 ","2,458,989 ","430,720 ","2,028,269 ",2023,8,2022,1,
North Carolina,"2,696,597 ",N/A,N/A,N/A,2023,8,2022,1,
North Dakota,"120,330 ","31,110 ","29,670 ","1,440 ",2023,8,2022,1,
Ohio,"3,405,969 ","811,846 ","811,593 ",253 ,2023,8,2022,1,
Oklahoma,"1,096,359 ","249,887 ","249,887 ",0 ,2023,8,2022,1,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021."
Oregon,"1,226,587 ","674,983 ","577,326 ","97,657 ",2023,8,2022,1,
Pennsylvania,"3,441,751 ","1,089,848 ","1,031,168 ","58,680 ",2023,8,2022,1,"Pennsylvania expanded its Medicaid program by adopting the VIII Group on January 1, 2015."
Puerto Rico,"1,443,582 ","644,250 ",N/A,"644,250 ",2023,8,2022,1,
Rhode Island,"340,350 ","93,294 ","93,294 ",0 ,2023,8,2022,1,
South Carolina,"1,494,263 ",N/A,N/A,N/A,2023,8,2022,1,
South Dakota,"126,731 ",N/A,N/A,N/A,2023,8,2022,1,"South Dakota expanded its Medicaid program by adopting the VIII Group on July 1, 2023."
Tennessee,"1,778,063 ",N/A,N/A,N/A,2023,8,2022,1,
Texas,"5,539,151 ",N/A,N/A,N/A,2023,8,2022,1,
Utah,"470,056 ","115,736 ","114,793 ",943 ,2023,8,2022,1,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
Vermont,"197,045 ","72,847 ",0 ,"72,847 ",2023,8,2022,1,
Virgin Islands,"35,746 ","17,486 ",N/A,"17,486 ",2023,8,2022,1,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
Virginia,"1,787,972 ","621,800 ","621,800 ",0 ,2023,8,2022,1,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
Washington,"2,071,283 ","782,357 ","766,694 ","15,663 ",2023,8,2022,1,
West Virginia,"626,945 ","223,596 ","223,596 ",0 ,2023,8,2022,1,
Wisconsin,"1,480,897 ",N/A,N/A,N/A,2023,8,2022,1,
Wyoming,"77,966 ",N/A,N/A,N/A,2023,8,2022,1,
Totals,"92,054,533 ","22,009,309 ","17,572,722 ","4,436,587 ",2023,8,2022,1,
Alabama,"1,253,832 ",N/A,N/A,N/A,2023,8,2022,2,
Alaska,"250,318 ","70,300 ","70,299 ",1 ,2023,8,2022,2,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
Amer. Samoa,"31,434 ",N/A,N/A,N/A,2023,8,2022,2,
